frame,timestamp,ground_truth_x,ground_truth_y,measurement_x,measurement_y,kalman_x,kalman_y,tracking_error,state,confidence,camera_x,camera_y,detection,measurement_accepted,local_search_active,processing_time_ms
0,0.0000,752.48,361.05,761.94,361.41,761.94,361.41,9.47,TRACKING,1.00,648.00,360.00,True,True,False,0.1492
1,0.0333,754.97,362.09,755.46,357.28,759.39,359.79,4.99,TRACKING,1.00,656.00,360.00,True,True,False,0.1631
2,0.0667,757.42,363.18,748.84,362.60,756.23,360.61,2.84,TRACKING,1.00,664.00,360.00,True,True,False,0.0623
3,0.1000,759.81,364.43,758.33,362.97,756.68,361.21,4.49,TRACKING,1.00,672.00,360.00,True,True,False,0.0480
4,0.1333,762.21,365.66,769.14,373.08,759.46,363.95,3.24,TRACKING,1.00,680.00,360.39,True,True,False,0.0484
5,0.1667,764.62,366.86,766.26,367.25,761.01,364.82,4.14,TRACKING,1.00,688.00,360.84,True,True,False,0.0441
6,0.2000,766.94,368.21,773.23,364.08,763.78,364.85,4.61,TRACKING,1.00,695.58,361.24,True,True,False,0.0432
7,0.2333,769.23,369.63,778.06,364.06,767.15,364.86,5.21,TRACKING,1.00,702.73,361.60,True,True,False,0.0409
8,0.2667,771.54,371.01,769.49,361.84,768.17,364.38,7.44,TRACKING,1.00,709.28,361.88,True,True,False,0.0418
9,0.3000,773.82,372.44,773.77,376.41,769.92,367.08,6.63,TRACKING,1.00,715.34,362.40,True,True,False,0.0407
10,0.3333,776.13,373.83,768.93,369.18,770.33,367.82,8.35,TRACKING,1.00,720.84,362.94,True,True,False,0.0419
11,0.3667,778.47,375.18,780.52,366.78,773.12,367.92,9.01,TRACKING,1.00,726.07,363.44,True,True,False,0.0430
12,0.4000,780.79,376.54,788.78,369.77,777.20,368.62,8.70,TRACKING,1.00,731.18,363.96,True,True,False,0.0424
13,0.4333,783.20,377.73,787.22,370.57,780.26,369.35,8.88,TRACKING,1.00,736.09,364.50,True,True,False,0.0409
14,0.4667,785.70,378.74,785.36,380.12,782.40,371.95,7.55,TRACKING,1.00,740.72,365.24,True,True,False,0.0409
15,0.5000,788.21,379.70,792.98,380.71,785.70,374.24,6.01,TRACKING,1.00,745.22,366.14,True,True,False,0.0403
16,0.5333,790.77,380.56,795.99,380.88,789.04,376.18,4.71,TRACKING,1.00,749.60,367.15,True,True,False,0.0402
17,0.5667,793.31,381.45,787.92,373.57,790.16,376.30,6.03,TRACKING,1.00,753.66,368.06,True,True,False,0.0402
18,0.6000,795.88,382.24,791.81,384.29,791.80,378.50,5.53,TRACKING,1.00,757.47,369.11,True,True,False,0.0402
19,0.6333,798.49,382.89,798.55,386.53,794.44,380.77,4.57,TRACKING,1.00,761.17,370.27,True,True,False,0.0739
20,0.6667,801.06,383.69,792.23,375.97,795.39,380.62,6.45,TRACKING,1.00,764.59,371.31,True,True,False,0.0510
21,0.7000,803.64,384.47,806.04,377.13,798.76,380.67,6.19,TRACKING,1.00,768.01,372.24,True,True,False,0.0420
22,0.7333,806.22,385.25,807.71,370.70,801.88,379.47,7.23,TRACKING,1.00,771.39,372.97,True,True,False,0.0418
23,0.7667,808.83,385.89,813.74,371.00,805.58,378.48,8.09,TRACKING,1.00,774.81,373.52,True,True,False,0.1258
24,0.8000,811.46,386.47,806.99,370.79,807.44,377.57,9.77,TRACKING,1.00,778.08,373.92,True,True,False,0.1199
25,0.8333,814.09,387.06,820.42,364.45,811.39,375.61,11.77,TRACKING,1.00,781.41,373.92,True,True,False,0.0494
26,0.8667,816.74,387.53,823.90,378.12,815.33,376.38,11.24,TRACKING,1.00,784.80,373.92,True,True,False,0.0481
27,0.9000,819.38,388.04,822.72,384.94,818.43,378.24,9.84,TRACKING,1.00,788.16,374.35,True,True,False,0.0454
28,0.9333,822.04,388.49,821.31,386.98,820.76,380.19,8.39,TRACKING,1.00,791.42,374.94,True,True,False,0.0414
29,0.9667,824.70,388.90,831.94,377.59,824.55,380.20,8.70,TRACKING,1.00,794.74,375.46,True,True,False,0.0409
30,1.0000,827.37,389.25,827.22,370.30,826.92,378.92,10.35,TRACKING,1.00,797.95,375.81,True,True,False,0.0405
31,1.0333,830.01,389.80,818.18,380.66,827.31,379.58,10.57,TRACKING,1.00,800.89,376.19,True,True,False,0.0398
32,1.0667,832.64,390.35,831.46,386.15,829.85,381.09,9.67,TRACKING,1.00,803.79,376.68,True,True,False,0.0396
33,1.1000,835.30,390.78,833.75,375.00,832.36,380.47,10.72,TRACKING,1.00,806.64,377.06,True,True,False,0.0411
